kids,school,children,students,education,teachers,learning,schools,child,teacher
,people,time,life,years,day,back,world,thing,make
music,play,sound,game,games,song,video,playing,hear,sounds
water,energy,earth,planet,climate,carbon,years,oil,air,mars
data,internet,information,online,media,phone,digital,people,google,web
virus,hiv,disease,flu,malaria,vaccine,polio,infected,epidemic,vaccines
people,human,social,life,love,good,happiness,compassion,feel,god
language,books,laughter,english,book,words,word,read,stories,film
ocean,fish,sea,animals,water,species,boat,coral,oceans,ice
universe,light,space,stars,theory,physics,earth,planets,particles,black
city,cities,car,cars,urban,street,york,public,map,streets
bees,poem,poetry,bee,soap,poems,pollen,paper,flowers,flower
people,world,percent,countries,money,country,years,dollars,africa,global
cancer,health,patients,cells,disease,medical,blood,care,patient,heart
brain,robot,robots,body,neurons,brains,memory,consciousness,cells,arm
war,people,political,power,country,democracy,violence,states,police,rights
dna,species,animals,human,genes,gene,bacteria,cells,cell,humans
food,eat,farmers,plant,feed,bread,agriculture,eating,meat,farm
design,art,building,architecture,project,space,buildings,designers,museum,made
women,men,girls,woman,sex,black,gender,girl,gay,female
,people,things,time,make,thing,world,years,kind,lot
