democracy,political,chinese,politics,election,vote,china,government,party,citizens
music,sound,song,play,hear,sounds,voice,video,listening,playing
brain,cells,cancer,body,neurons,brains,cell,blood,stem,patients
law,police,prison,legal,crime,justice,criminal,court,case,jail
,people,time,years,back,day,life,things,thing,world
ocean,fish,sea,water,ice,animals,oceans,coral,feet,boat
dna,genes,gene,cells,genome,cell,bacteria,genetic,life,biology
water,energy,oil,climate,carbon,nuclear,air,gas,waste,solar
people,human,life,social,feel,good,love,experience,person,happiness
poem,poetry,poems,paper,athletes,em,race,marathon,olympics,poet
black,gay,white,race,slavery,color,rights,racism,africanamerican,discrimination
food,eat,bees,farmers,feed,bread,plant,eating,agriculture,diet
people,world,,percent,years,countries,country,money,today,change
war,military,violence,afghanistan,peace,refugees,security,conflict,weapons,iraq
game,play,games,playing,video,players,player,hum,win,played
species,animals,forest,trees,tree,animal,years,nature,africa,planet
horse,number,décima,raisuddin,hg,magician,senses,sir,bf,squared
women,men,girls,woman,sex,gender,girl,female,sexual,boys
film,films,stories,movie,humor,comedy,yorker,characters,movies,fiction
kids,school,children,students,education,teachers,learning,schools,child,language
,things,time,make,kind,people,thing,years,world,lot
health,disease,cancer,patients,care,medical,doctors,drug,treatment,patient
car,cars,traffic,road,drive,miles,vehicle,driving,crash,gps
universe,earth,space,mars,planet,stars,planets,life,light,sun
robot,robots,fly,legs,ai,flying,flight,airplane,feet,foot
la,gabby,li,pete,janitors,dodo,als,sos,documents,falcon
city,design,building,art,cities,space,buildings,architecture,project,public
data,internet,information,media,online,people,phone,digital,google,web
god,compassion,religion,religious,religions,century,book,tradition,church,faith
silk,spider,spiders,givers,movember,mustache,fibers,web,bow,originals
